id,DataID,ClassName,datatype,uniqueid,name,latitude,longitude
2952,165,School,SCH,SCH165,GGES LANGER,33.66401911,72.59839654
2953,166,School,SCH,SCH166,GGES PIND FAZAL KHAN,33.71721305,72.5814037
2954,167,School,SCH,SCH167,GGPS BEHLOOL,33.67616415,72.65746951
2955,168,School,SCH,SCH168,GGPS BHATAR,33.68235469,72.64200926
2956,169,School,SCH,SCH169,GGPS BHATU,33.71117099,72.52785735
2957,170,School,SCH,SCH170,GGPS DHOK MERA,33.70516956,72.65420794
2958,171,School,SCH,SCH171,GGPS KATHA COLONY,33.65812545,72.63981942
2959,172,School,SCH,SCH172,GGPS KOT SALABAT,33.67756963,72.55162418
2960,173,School,SCH,SCH173,GGPS KOT ZAINDI,33.69999826,72.57306576
2961,174,School,SCH,SCH174,GGPS PERO SHAHI,33.6690402,72.65183151
2962,175,School,SCH,SCH175,GGPS SAHIB KHAN,33.72995279,72.60171662
2963,176,School,SCH,SCH176,GPS MODEL KAMAL PUR MAYAN,33.68899283,72.67437276
2964,177,School,SCH,SCH177,GES BHATU,33.71221734,72.52755617
2965,178,School,SCH,SCH178,GES DHAREK,33.68228364,72.6150656
2966,179,School,SCH,SCH179,GES PIND FAZAL KHAN,33.71468349,72.58215227
2967,180,School,SCH,SCH180,GES SAHIB KHAN,33.72679353,72.60142744
2968,181,School,SCH,SCH181,GPS CHARRAT,33.58820335,72.55628615
2969,182,School,SCH,SCH182,GPS DHOK MACHIAN,33.63610098,72.58699146
2970,183,School,SCH,SCH183,GPS DHOK MERA,33.70554373,72.5994964
2971,184,School,SCH,SCH184,GPS DHOK MIAN HASOO,33.70061517,72.6384902
2972,185,School,SCH,SCH185,GPS DHOK OTHIAN,33.67122889,72.57775962
2973,186,School,SCH,SCH186,GPS DHOK SARWALI DAKHLI DHRIEK,33.71200383,72.61445761
2974,187,School,SCH,SCH187,GPS KATHA COLONY,33.65999043,72.63809323
2975,188,School,SCH,SCH188,GPS KOT ZAINDI,33.67755353,72.55169928
2976,189,School,SCH,SCH189,GPS SADQAL,33.577829,72.63021827
2977,190,School,SCH,SCH190,GPS ZAINDI,33.70171387,72.57481889
2978,191,School,SCH,SCH191,GGES DHOKRI,33.54845879,72.66839681
2979,192,School,SCH,SCH192,GGES FATEH JANG CITY,33.56638815,72.6532811
2980,193,School,SCH,SCH193,GGES HUMAK,33.6930872,72.48826511
2981,194,School,SCH,SCH194,GGES TAJA BARA,33.49532254,72.63419952
2982,195,School,SCH,SCH195,GGPS CHARAT,33.58544759,72.55482417
2983,196,School,SCH,SCH196,GGPS DHOK MALKAN,33.63537786,72.51658742
2984,197,School,SCH,SCH197,GGPS DHOK MIAN KHAN,33.65929993,72.4957153
2985,198,School,SCH,SCH198,GGPS DHOK SEELO,33.53035219,72.67191795
2986,199,School,SCH,SCH199,GGPS FATEH JANG NO.1,33.56445537,72.64314923
2987,200,School,SCH,SCH200,GGPS FATEH JANG NO.2,33.56565714,72.6354754
